Local time,open,high,low,close,volume
12.02.2004 00:00:00.000 GMT+0200,1.28335,1.28445,1.27887,1.28084,1139512.185
13.02.2004 00:00:00.000 GMT+0200,1.28077,1.28918,1.27145,1.27315,1135078.998
16.02.2004 00:00:00.000 GMT+0200,1.27444,1.2789,1.2715,1.27697,1119951.094
17.02.2004 00:00:00.000 GMT+0200,1.27695,1.28766,1.27549,1.28398,1128467.703
18.02.2004 00:00:00.000 GMT+0200,1.28411,1.29253,1.26587,1.26875,1122238.488
19.02.2004 00:00:00.000 GMT+0200,1.26876,1.27357,1.26527,1.27128,1124082.705
20.02.2004 00:00:00.000 GMT+0200,1.27138,1.27658,1.24942,1.25345,1137911.293
23.02.2004 00:00:00.000 GMT+0200,1.25263,1.25942,1.24509,1.25548,1128701.506
24.02.2004 00:00:00.000 GMT+0200,1.25568,1.2712,1.25213,1.26841,1124730.91
25.02.2004 00:00:00.000 GMT+0200,1.26838,1.2705,1.24726,1.24983,1118406.094
26.02.2004 00:00:00.000 GMT+0200,1.24998,1.25144,1.23841,1.2437,1124020.803
27.02.2004 00:00:00.000 GMT+0200,1.24377,1.25063,1.23732,1.24913,1124830.086
01.03.2004 00:00:00.000 GMT+0200,1.24836,1.25413,1.24228,1.24553,1121298.295
02.03.2004 00:00:00.000 GMT+0200,1.24555,1.24688,1.21944,1.22152,1118957.299
03.03.2004 00:00:00.000 GMT+0200,1.22137,1.2222,1.20556,1.22024,1132378.697
04.03.2004 00:00:00.000 GMT+0200,1.22025,1.22393,1.2135,1.22018,1130932.695
05.03.2004 00:00:00.000 GMT+0200,1.22001,1.24285,1.2175,1.23657,1125097.887
08.03.2004 00:00:00.000 GMT+0200,1.23873,1.2416,1.23369,1.24033,1122390.398
09.03.2004 00:00:00.000 GMT+0200,1.24036,1.24588,1.22729,1.23266,1126749.108
10.03.2004 00:00:00.000 GMT+0200,1.23242,1.23296,1.21962,1.22231,1118389.106
11.03.2004 00:00:00.000 GMT+0200,1.22216,1.23841,1.21627,1.23504,1129471.293
12.03.2004 00:00:00.000 GMT+0200,1.23497,1.23719,1.2172,1.22171,1127349.305
15.03.2004 00:00:00.000 GMT+0200,1.21903,1.23168,1.21829,1.22626,1114509.199
16.03.2004 00:00:00.000 GMT+0200,1.22622,1.23705,1.22309,1.22719,1119941.906
17.03.2004 00:00:00.000 GMT+0200,1.22725,1.22882,1.21742,1.2232,1134048.791
18.03.2004 00:00:00.000 GMT+0200,1.22325,1.24335,1.22196,1.23843,1126683.096
19.03.2004 00:00:00.000 GMT+0200,1.23853,1.24073,1.2255,1.22855,1123704.402
22.03.2004 00:00:00.000 GMT+0200,1.2277,1.23998,1.22206,1.23283,1120839.207
23.03.2004 00:00:00.000 GMT+0200,1.23305,1.23693,1.22643,1.23335,1118497.689
24.03.2004 00:00:00.000 GMT+0200,1.2337,1.23668,1.21146,1.21323,1129875.396
25.03.2004 00:00:00.000 GMT+0200,1.21338,1.21997,1.20975,1.21265,1134152.299
26.03.2004 00:00:00.000 GMT+0200,1.21276,1.22093,1.20743,1.21292,1132720.988
29.03.2004 01:00:00.000 GMT+0300,1.21098,1.21682,1.20578,1.21564,1121211.01
30.03.2004 01:00:00.000 GMT+0300,1.2156,1.22273,1.21484,1.21704,1080810.506
31.03.2004 01:00:00.000 GMT+0300,1.21722,1.23228,1.21682,1.2314,1127729.291
01.04.2004 01:00:00.000 GMT+0300,1.23146,1.23874,1.2255,1.23627,1126671.891
02.04.2004 01:00:00.000 GMT+0300,1.23618,1.23726,1.20982,1.21331,1136507.006
05.04.2004 00:00:00.000 GMT+0300,1.21146,1.21273,1.19818,1.20179,1134604.602
06.04.2004 00:00:00.000 GMT+0300,1.20188,1.2135,1.19812,1.21166,1133822.094
07.04.2004 00:00:00.000 GMT+0300,1.21166,1.21976,1.20489,1.21742,1134067.807
08.04.2004 00:00:00.000 GMT+0300,1.21754,1.22186,1.20584,1.20853,1133015.193
09.04.2004 00:00:00.000 GMT+0300,1.20865,1.21114,1.2062,1.20888,1075048.701
12.04.2004 00:00:00.000 GMT+0300,1.20927,1.20966,1.20505,1.2076,1113207.209
13.04.2004 00:00:00.000 GMT+0300,1.20804,1.20854,1.19031,1.19454,1120032.002
14.04.2004 00:00:00.000 GMT+0300,1.1947,1.19745,1.18691,1.19624,1141884.59
15.04.2004 00:00:00.000 GMT+0300,1.19617,1.19936,1.18925,1.19846,1140706.998
16.04.2004 00:00:00.000 GMT+0300,1.1985,1.20455,1.19225,1.19916,1135078.899
19.04.2004 00:00:00.000 GMT+0300,1.20059,1.20766,1.19996,1.20234,1133050.295
